Col1,Col2,Actual,Predicted
-16345,-8120,S6,S6
-15637,8392,S6,S6
-3950,-324,S6,S6
-20354,-3789,S6,S6
-9738,8959,S6,S6
-13848,-9910,S6,S6
-11252,-3942,S6,S6
-4093,-3720,S6,S20
-14857,-14089,S6,S6
-17190,2752,S6,S6
-19479,-1177,S6,S6
-16885,7453,S7,S7
-4945,-4679,S7,S23
-18639,-260,S7,S7
-21862,1074,S7,S7
-17415,-8731,S7,S7
-2607,-1081,S7,S9
-16226,7941,S7,S7
-22349,2804,S7,S7
-22656,4751,S7,S7
-4248,4814,S7,S2
-11785,9286,S7,S7
-14237,-10406,S7,S7
-8197,8138,S7,S7
-15277,-8533,S7,S7
-13149,3509,S7,S7
-4926,5489,S7,S1
-18890,8666,S7,S7
-5207,-5833,S7,S11
-8013,7367,S7,S7
-5679,5671,S7,S7
-21115,-1037,S7,S7
-11948,-10637,S7,S7
-18232,1834,S7,S7
-3884,-4345,S7,S1
-22735,2952,S8,S8
-26050,-3466,S8,S8
-19562,-36,S8,S8
-22534,-1325,S8,S8
-13001,7166,S8,S8
-21353,-3255,S8,S8
-5171,5570,S8,S8
-2621,2380,S8,S8
-24084,102,S8,S8
-19139,-8189,S8,S8
-10126,8654,S8,S8
-4388,2401,S8,S8
-4978,-5177,S8,S3
-18079,1189,S8,S8
-12148,10784,S8,S8
-21540,3757,S8,S8
-7652,-7268,S8,S8
-8275,7718,S8,S8
-13406,-12475,S8,S8
-9559,-8651,S8,S8
-15879,-9357,S8,S8
-17530,-4957,S8,S8
-13512,-10208,S8,S8
-20623,8232,S8,S8
-3179,-2966,S9,S9
-9841,8024,S9,S9
-4644,-1644,S9,S9
-14702,4018,S9,S9
-1785,1649,S9,S9
-9736,-4375,S9,S9
-5462,4327,S9,S9
-9003,6971,S9,S9
-467,175,S9,S28
-17177,-2397,S9,S9
-11598,-3128,S9,S9
-6041,6121,S9,S9
-8574,7897,S9,S9
-2871,3241,S9,S9
-13014,-5967,S9,S9
-15796,-2460,S9,S9
-12631,3340,S9,S9
-792,119,S9,S28
-2803,-2343,S9,S9
-2354,2455,S9,S9
-15969,-394,S9,S9
-10589,-11,S9,S9
-14445,-3718,S9,S9
-8891,5954,S9,S9
-12270,9877,S10,S10
-15298,9927,S10,S10
-12573,-4541,S10,S10
-10922,-3572,S10,S10
-10670,11009,S10,S10
-11025,-7859,S10,S10
-18630,3825,S10,S10
-11949,-10014,S10,S10
-14770,-11673,S10,S10
-14452,5373,S10,S10
-16989,-735,S10,S10
-15842,11430,S10,S10
-16851,4567,S10,S10
-16574,7048,S10,S10
-10439,9308,S10,S10
-14903,6997,S10,S10
-17530,-1929,S10,S10
-16647,-3625,S10,S10
-3393,-1965,S10,S2
-11500,-9073,S10,S10
-14475,-13186,S10,S10
-14098,12411,S10,S10
-13875,-6919,S10,S10
-11787,10569,S10,S10
-2814,-2659,S11,S11
-8365,6938,S11,S11
-5236,5844,S11,S11
-1875,1833,S11,S13
-7610,8005,S11,S11
-7941,7730,S11,S11
-8887,-6517,S11,S11
-12697,-9500,S11,S11
-11039,10033,S11,S11
-14530,8760,S11,S11
-8010,-7484,S11,S11
-16967,3852,S11,S11
-17841,-2642,S11,S11
-867,316,S11,S9
-4089,4788,S11,S11
-18208,1498,S11,S11
-8634,-8980,S11,S11
-17530,-1633,S11,S11
-6889,-3119,S11,S9
-13574,-975,S11,S11
-11368,8966,S11,S11
-14463,-1214,S11,S11
-12556,2563,S11,S11
-19310,-4401,S11,S11
-16165,-11684,S12,S12
-2,-1,S12,S7
-4331,4844,S12,S12
-24748,-5532,S12,S12
-25100,2595,S12,S12
-6418,-7022,S12,S12
-19613,-1124,S12,S12
-11336,8659,S12,S12
-26399,4957,S12,S12
-20461,9127,S12,S12
-18095,-9407,S12,S12
-2,0,S12,S7
-24297,-2969,S12,S12
-10102,-9604,S12,S12
-21450,8952,S12,S12
-26381,592,S12,S12
-15278,-5142,S12,S12
-27314,-5451,S12,S12
-24094,3533,S12,S12
-11345,10634,S12,S12
-2038,1217,S12,S12
-10853,9597,S12,S12
-5570,5806,S12,S12
-21505,-11153,S12,S12
-8299,-4369,S13,S2
-17973,-5203,S13,S13
-9099,7641,S13,S13
-24450,74,S13,S13
-10233,9372,S13,S19
-8616,-8685,S13,S13
-9809,-9172,S13,S13
-26708,-3840,S13,S13
-6577,-6576,S13,S13
-4491,4394,S13,S13
-14375,-13273,S13,S13
-3890,-3575,S13,S13
-3240,-1720,S13,S12
-16220,12752,S13,S13
-19744,13290,S13,S13
-7734,7784,S13,S2
-1932,154,S13,S16
-19919,9585,S13,S13
-3151,2617,S13,S13
-16262,-8753,S13,S13
-13404,11798,S13,S13
-4450,4340,S13,S13
-12902,-9958,S13,S13
-2971,-1288,S13,S16
-16610,-2273,S14,S14
-14780,-3035,S14,S14
-16338,4182,S14,S14
-5746,-6032,S14,S14
-8975,-2299,S14,S23
-15835,6737,S14,S14
-17541,478,S14,S14
-19042,3807,S14,S14
-13597,8448,S14,S14
-17767,-742,S14,S14
-5243,5779,S14,S11
-7665,-7426,S14,S14
-2951,2535,S14,S11
-2540,2664,S14,S13
-13389,5786,S14,S14
-12533,-4569,S14,S14
-6950,7484,S14,S14
-3612,4309,S14,S14
-9649,-3359,S14,S14
-10677,2350,S14,S14
-15885,-7985,S14,S14
-9433,9080,S14,S14
-14266,5964,S14,S14
-18550,-3827,S14,S14
-7495,5578,S15,S15
-7873,8425,S15,S15
-14770,2202,S15,S15
-3763,-3018,S15,S15
-13407,-4692,S15,S15
-3340,3223,S15,S38
-13379,-7336,S15,S15
-10317,-5524,S15,S15
-5075,1893,S15,S9
-4853,4468,S15,S11
-13430,-3446,S15,S15
-2336,192,S15,S9
-8460,-6029,S15,S15
-9603,5754,S15,S15
-2338,1491,S15,S9
-13838,-1975,S15,S15
-9066,-8818,S15,S15
-11692,2438,S15,S15
-10329,-3701,S15,S15
-14392,3750,S15,S15
-5864,-1840,S15,S9
-12462,-855,S15,S15
-8969,-9126,S15,S15
-10318,-8576,S15,S15
-16293,-228,S16,S16
-5219,5649,S16,S16
-14075,121,S16,S16
-14772,-7123,S16,S16
-15579,4815,S16,S16
-14729,744,S16,S16
-17871,-2774,S16,S16
-9542,9119,S16,S16
-17794,1118,S16,S16
-14248,1778,S16,S16
-11608,-9548,S16,S16
-8952,-8758,S16,S16
-14109,7158,S16,S16
-3733,-4054,S16,S16
-17242,-1192,S16,S16
-13536,9544,S16,S16
-1756,1252,S16,S16
-11531,-10772,S16,S16
-8275,-7214,S16,S16
-9402,-7859,S16,S16
-9076,6102,S16,S16
-3764,-3198,S16,S9
-15265,-4037,S16,S16
-7534,-7985,S16,S16
-1085,61,S17,S1
-22900,-4713,S17,S17
-21460,810,S17,S17
-20438,-5760,S17,S17
-13403,-11296,S17,S9
-12775,7559,S17,S17
-16307,1884,S17,S17
-24529,-6521,S17,S17
-2829,-111,S17,S17
-9720,-8424,S17,S9
-1974,1233,S17,S9
-14294,-13242,S17,S17
-11160,-8010,S17,S9
-18717,5175,S17,S17
-15352,-10858,S17,S17
-20698,-240,S17,S17
-15009,3796,S17,S17
-24110,-1434,S17,S17
-2968,-2258,S17,S14
-8465,4685,S17,S17
-13753,7137,S17,S17
-9372,-4285,S17,S17
-19231,5626,S17,S17
-1731,-850,S17,S17
-9731,6566,S18,S18
-12298,-10782,S18,S18
-8733,9034,S18,S18
-4407,-1975,S18,S12
-15223,1318,S18,S18
-4040,-3795,S18,S18
-7669,6876,S18,S18
-9630,-8862,S18,S18
-16426,2348,S18,S18
-10034,-7607,S18,S18
-15775,-3075,S18,S18
-4985,-4068,S18,S11
-2868,-1423,S18,S11
-14957,5553,S18,S18
-4490,4877,S18,S18
-5542,5077,S18,S18
-17465,-1026,S18,S18
-8264,-5827,S18,S18
-10304,-8307,S18,S18
-16228,-4728,S18,S18
-17364,-2397,S18,S18
-19297,1962,S18,S18
-15813,-21,S18,S18
-17052,-847,S18,S18
-3254,3776,S19,S19
-3339,3393,S19,S19
-6719,-6091,S19,S19
-7986,-5266,S19,S19
-5001,2589,S19,S9
-7276,-7496,S19,S19
-13469,-7174,S19,S19
-1398,284,S19,S16
-7483,6190,S19,S19
-7290,6141,S19,S19
-16865,1951,S19,S19
-17350,4562,S19,S19
-13594,6120,S19,S19
-14510,-2192,S19,S19
-13844,-3659,S19,S19
-15257,2106,S19,S19
-11181,-9299,S19,S19
-11202,5211,S19,S19
-10538,-10094,S19,S19
-10971,-6094,S19,S19
-2697,-2328,S19,S19
-15937,-4367,S19,S19
-10827,-7712,S19,S19
-8234,5320,S19,S19
-17228,11869,S20,S20
-11383,8316,S20,S20
-19461,143,S20,S20
-8972,-8848,S20,S20
-4826,-4733,S20,S20
-18330,3161,S20,S20
-2324,2048,S20,S13
-12097,10696,S20,S20
-10029,7792,S20,S20
-14122,12367,S20,S20
-8797,-8470,S20,S20
-15817,-9911,S20,S20
-5786,-6786,S20,S20
-14079,6970,S20,S20
-19679,-209,S20,S20
-21148,1945,S20,S20
-13902,-13834,S20,S20
-13351,-12233,S20,S20
-1064,134,S20,S21
-19470,4717,S20,S20
-10331,9012,S20,S20
-7091,-7988,S20,S20
-14336,11548,S20,S20
-15062,11550,S20,S19
-13005,11111,S21,S21
-13303,-12614,S21,S21
-8706,-8607,S21,S11
-18621,-16300,S21,S21
-4531,-2185,S21,S12
-9300,-8898,S21,S21
-16413,-5370,S21,S21
-20014,-571,S21,S21
-27043,3326,S21,S21
-8855,4498,S21,S2
-26044,-904,S21,S21
-14689,13202,S21,S21
-8519,8438,S21,S2
-17436,15263,S21,S21
-9210,9377,S21,S18
-22496,-12191,S21,S21
-27712,6971,S21,S21
-16352,-13242,S21,S21
-24511,-4522,S21,S21
-6576,6919,S21,S2
-28622,1667,S21,S21
-6581,-6346,S21,S11
-24029,-7331,S21,S21
-12805,12763,S21,S2
-13609,10098,S22,S22
-4329,-3440,S22,S1
-10544,-8558,S22,S22
-9023,7500,S22,S2
-14674,-7796,S22,S22
-12185,-192,S22,S22
-10086,7510,S22,S22
-15603,3301,S22,S22
-16550,-95,S22,S22
-9248,8468,S22,S2
-9267,-7955,S22,S22
-12128,-6562,S22,S22
-9904,9779,S22,S22
-11786,9019,S22,S22
-301,61,S22,S22
-313,32,S22,S22
-12554,-6606,S22,S22
-15842,-155,S22,S22
-15748,-2973,S22,S22
-7671,2797,S22,S22
-12359,-10020,S22,S22
-13167,5823,S22,S22
-3759,-2032,S22,S16
-16044,5288,S22,S22
-1429,325,S23,S9
-9280,-5998,S23,S23
-5715,-5833,S23,S23
-9250,2161,S23,S23
-6635,6593,S23,S23
-1195,59,S23,S24
-14356,2015,S23,S23
-6061,-2693,S23,S23
-3570,3578,S23,S23
-8532,-8109,S23,S23
-8921,7331,S23,S23
-9588,-5812,S23,S23
-13102,-2411,S23,S23
-4332,4608,S23,S23
-7884,-3272,S23,S23
-13188,-2583,S23,S23
-6195,5009,S23,S23
-3865,-3880,S23,S23
-7389,5305,S23,S23
-11123,-6870,S23,S23
-6389,-6268,S23,S23
-22,26,S23,S7
-12185,632,S23,S23
-12916,-1690,S23,S23
-18688,-236,S24,S24
-13885,-11681,S24,S24
-20086,8552,S24,S24
-11289,-10296,S24,S24
-4973,-5495,S24,S18
-20271,2973,S24,S24
-21724,-588,S24,S24
-3268,-3473,S24,S11
-5970,5503,S24,S24
-18117,7231,S24,S24
-8952,-7181,S24,S24
-21313,-3974,S24,S24
-17333,-5201,S24,S24
-6433,6438,S24,S24
-2682,2461,S24,S13
-20948,5369,S24,S24
-8046,-8968,S24,S24
-21638,-1964,S24,S24
-8814,-9375,S24,S24
-21087,-747,S24,S24
-14584,2907,S24,S24
-23201,4777,S24,S24
-9770,-10091,S24,S24
-9172,8536,S24,S24
-8649,-7690,S25,S25
-20656,-7037,S25,S25
-9750,8938,S25,S25
-16188,-10493,S25,S25
-18259,7263,S25,S25
-22194,-1147,S25,S25
-10940,-10421,S25,S38
-15455,-7425,S25,S25
-6471,-6476,S25,S25
-7993,6865,S25,S25
-13555,-2454,S25,S25
-24212,4129,S25,S25
-5643,-5035,S25,S25
-12119,-8054,S25,S25
-3475,3144,S25,S1
-11635,10644,S25,S25
-23135,-1140,S25,S25
-23954,-2441,S25,S25
-20017,222,S25,S25
-22531,2186,S25,S25
-3160,-2516,S25,S25
-14003,-11930,S25,S25
-20669,3058,S25,S25
-192,92,S25,S1
-2866,2653,S26,S7
-12558,10417,S26,S26
-10381,-9364,S26,S26
-12169,-9188,S26,S26
-10385,-10595,S26,S26
-16767,-8897,S26,S26
-15028,201,S26,S26
-15158,7103,S26,S26
-6748,6090,S26,S26
-12405,9311,S26,S26
-10624,-9461,S26,S26
-11525,8142,S26,S26
-15495,5952,S26,S26
-15108,-7859,S26,S26
-13346,-4985,S26,S26
-19006,828,S26,S26
-17288,-604,S26,S26
-8740,-8998,S26,S26
-11467,9791,S26,S26
-18,-5,S26,S7
-16232,-761,S26,S26
-19844,3968,S26,S26
-13385,-11361,S26,S26
-4463,-460,S26,S26
-4603,4336,S27,S27
-11065,-11112,S27,S27
-5176,5589,S27,S27
-20218,-3371,S27,S11
-14768,-4354,S27,S27
-19270,-5307,S27,S11
-19361,-9572,S27,S27
-7863,-7721,S27,S27
-9729,8201,S27,S27
-21020,196,S27,S27
-2887,-1322,S27,S2
-24789,-3528,S27,S27
-15301,4220,S27,S27
-14408,-11276,S27,S27
-17508,8878,S27,S27
-7003,4208,S27,S27
-20663,-5416,S27,S27
-5084,-5177,S27,S23
-3853,4044,S27,S27
-16575,-14105,S27,S27
-16110,-5363,S27,S11
-17221,-178,S27,S27
-21061,220,S27,S27
-17759,1256,S27,S27
-20236,2235,S28,S28
-13022,9657,S28,S28
-8893,7934,S28,S28
-17163,-4256,S28,S28
-14625,-6734,S28,S28
-6396,-3440,S28,S21
-9982,-9218,S28,S28
-17777,6561,S28,S28
-18079,3360,S28,S28
-12727,14,S28,S28
-19396,-523,S28,S28
-13802,-8695,S28,S28
-344,146,S28,S28
-6162,-6018,S28,S10
-21183,-3157,S28,S28
-6427,6830,S28,S28
-18943,8009,S28,S28
-7229,6675,S28,S13
-344,146,S28,S28
-18706,-730,S28,S28
-9477,9115,S28,S28
-5426,-163,S28,S10
-15737,-11893,S28,S28
-19732,-662,S28,S28
-13586,9498,S29,S29
-15019,-14522,S29,S29
-23675,-5731,S29,S29
-23268,1533,S29,S29
-7374,6891,S29,S29
-20958,8309,S29,S29
-22641,-5750,S29,S29
-17087,11951,S29,S29
-6025,6737,S29,S29
-15492,-9544,S29,S29
-14815,11604,S29,S29
-14581,3983,S29,S29
-12728,-11416,S29,S29
-11852,-12041,S29,S29
-5784,-601,S29,S29
-18823,6366,S29,S29
-7415,7506,S29,S29
-11513,3185,S29,S29
-5896,-6526,S29,S29
-3451,3329,S29,S38
-9536,-7669,S29,S29
-22149,-3404,S29,S29
-23151,330,S29,S29
-15387,-917,S29,S29
-8082,6444,S30,S30
-15412,-3862,S30,S30
-13079,-5185,S30,S30
-9740,-9254,S30,S30
-16113,1003,S30,S30
-18857,-3806,S30,S30
-5357,-5426,S30,S11
-20940,3403,S30,S30
-3984,4558,S30,S30
-22971,-2601,S30,S30
-1585,394,S30,S9
-13626,6117,S30,S30
-14306,771,S30,S30
-2003,-303,S30,S25
-13243,7348,S30,S30
-10389,-8823,S30,S30
-19077,7751,S30,S30
-21797,2612,S30,S30
-6688,-1181,S30,S3
-3414,3493,S30,S30
-1146,663,S30,S21
-18910,-3904,S30,S30
-15966,-3788,S30,S30
-21882,-1450,S30,S30
-25285,9423,S31,S31
-20207,-14057,S31,S31
-15146,-10594,S31,S31
-8153,-7647,S31,S31
-20352,-11334,S31,S27
-29799,6915,S31,S31
-28434,3974,S31,S31
-19086,-605,S31,S31
-26036,-8870,S31,S31
-29603,-2213,S31,S31
-15640,11168,S31,S31
-29066,-10415,S31,S31
-33311,3787,S31,S31
-2311,759,S31,S31
-573,166,S31,S31
-11702,-10337,S31,S31
-21391,-9010,S31,S31
-577,171,S31,S31
-572,174,S31,S31
-11528,10294,S31,S31
-21494,9054,S31,S31
-33065,-1418,S31,S31
-4061,-1814,S31,S11
-28700,493,S31,S31
-12473,-523,S32,S32
-11858,3249,S32,S32
-14845,-8653,S32,S32
-19435,1808,S32,S32
-17950,-1151,S32,S32
-10152,-10214,S32,S32
-8961,7746,S32,S32
-11418,-8945,S32,S32
-16947,-5798,S32,S32
-6718,-6486,S32,S32
-9434,8676,S32,S32
-16875,-1869,S32,S32
-14932,-433,S32,S32
-7790,7680,S32,S32
-15150,10406,S32,S32
-14735,-5085,S32,S32
-11274,-9589,S32,S32
-15510,-9248,S32,S32
-16790,-754,S32,S32
-18719,1017,S32,S32
-4533,4578,S32,S32
-17575,6587,S32,S32
-7654,-5972,S32,S32
-15720,1670,S32,S32
-3091,3273,S33,S33
-7020,-7070,S33,S33
-17134,-815,S33,S33
-8084,-8116,S33,S33
-16509,-2563,S33,S33
-11000,-3267,S33,S33
-12652,-9290,S33,S33
-16042,-108,S33,S33
-14201,1969,S33,S33
-9394,-7473,S33,S33
-5066,-4938,S33,S33
-11089,9827,S33,S33
-7001,6849,S33,S33
-7190,7413,S33,S33
-6664,6051,S33,S33
-8573,6270,S33,S33
-12812,6416,S33,S33
-4296,-4335,S33,S25
-14054,-3127,S33,S33
-16574,-170,S33,S33
-15206,2888,S33,S33
-5386,5445,S33,S33
-11738,-5229,S33,S33
-5107,4726,S33,S33
-18243,496,S34,S34
-9086,9971,S34,S34
-18973,-9777,S34,S34
-5427,3713,S34,S2
-13919,-131,S34,S34
-16647,9068,S34,S34
-3276,-3886,S34,S34
-8060,7859,S34,S5
0,0,S34,S7
-23236,-986,S34,S34
-22600,-2040,S34,S34
-11414,-11776,S34,S34
-7123,-7189,S34,S34
-18415,-9184,S34,S34
-12907,-9976,S34,S34
-12632,11277,S34,S34
-20330,-5824,S34,S34
-9374,7770,S34,S36
-13768,-7957,S34,S34
-24344,2929,S34,S34
-10570,-9978,S34,S34
-8501,8955,S34,S34
-18063,-3334,S34,S34
-7616,-1089,S34,S2
-18690,-4283,S35,S35
-8906,-7518,S35,S35
-2475,1944,S35,S13
-8862,7146,S35,S35
-17783,-7258,S35,S35
-20471,-117,S35,S35
-19599,431,S35,S35
-12211,6920,S35,S35
-3430,-2882,S35,S9
-22494,-1702,S35,S35
-19256,-764,S35,S35
-4987,5000,S35,S35
-11329,-9161,S35,S35
-21541,-3374,S35,S35
-11554,4809,S35,S5
-7979,-7927,S35,S35
-23854,4378,S35,S35
-6098,5877,S35,S11
-8991,8235,S35,S35
-19268,-3038,S35,S35
-5105,-4627,S35,S16
-6332,-6186,S35,S35
-23918,2828,S35,S35
-13221,10067,S35,S35
-12754,10580,S36,S36
-19429,-2972,S36,S36
-7913,3514,S36,S2
-9232,-7224,S36,S36
-10365,7812,S36,S36
-5645,5155,S36,S21
-15224,8294,S36,S36
-17390,5957,S36,S36
-5863,5908,S36,S36
-13656,-12831,S36,S36
-10896,9715,S36,S36
-4843,-4019,S36,S16
-10054,-10567,S36,S36
-13523,-7593,S36,S36
-18032,3457,S36,S36
-4701,5233,S36,S36
-5200,-5622,S36,S36
-17683,-36,S36,S36
-7004,-7779,S36,S36
-13804,-178,S36,S36
-8460,-2354,S36,S2
-11685,-10335,S36,S36
-3106,-65,S36,S16
-17675,-3077,S36,S36
-18829,-4941,S37,S37
-18206,8797,S37,S37
-6765,-7267,S37,S37
-18605,163,S37,S37
-14998,-12309,S37,S37
-15408,-8089,S37,S37
-21403,-216,S37,S37
-9812,-7324,S37,S37
-18548,1152,S37,S37
-7235,7805,S37,S37
-7931,8344,S37,S37
-11258,-11600,S37,S37
-21933,-1428,S37,S37
-7252,-6587,S37,S37
-19566,-3310,S37,S37
-16883,-8297,S37,S37
-5420,-4546,S37,S21
-13849,12989,S37,S37
-10768,10662,S37,S37
-23072,3622,S37,S37
-14202,-9927,S37,S37
-10986,4273,S37,S37
-19496,-5397,S37,S37
-9600,-9925,S37,S37
-18899,-1985,S38,S38
-4612,5257,S38,S38
-11104,9649,S38,S38
-7284,-7730,S38,S38
-17818,3364,S38,S38
-8478,7003,S38,S38
-3802,-4074,S38,S3
-7822,6194,S38,S38
-5743,2383,S38,S9
-19213,757,S38,S38
-13067,-573,S38,S38
-18466,1507,S38,S38
-14998,-7701,S38,S38
-11680,8389,S38,S38
-6258,-6432,S38,S38
-19486,2863,S38,S38
-15895,-5277,S38,S38
-3072,-2811,S38,S9
-15644,8130,S38,S38
-14032,1687,S38,S38
-13084,-4953,S38,S38
-15923,5700,S38,S38
-12364,-8620,S38,S38
-1657,-1034,S38,S8
